,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL,Indicator_0,Indicator_1,Indicator_2,Indicator_3,Remarks,BuySellSignal,Entry_Price,Target,Stoploss,Exit_Price
11,2021-02-10,EQ,1608.35,1614.85,1567.0,1611.85,1592.5,1581.75,1592.85,1631.65,738.75,9894003.0,15759687718.6,229610.0,HDFCBANK,1614.85,1573.635,1614.85,1573.635,,Hold,,,,
12,2021-02-11,EQ,1582.0,1597.8,1564.2,1581.75,1576.0,1572.35,1577.79,1631.65,738.75,6824309.0,10767295916.6,192335.0,HDFCBANK,1597.8,1576.105,1597.8,1576.105,,Hold,,,,
13,2021-02-12,EQ,1573.9,1592.5,1573.0,1572.35,1589.55,1581.95,1584.36,1631.65,738.75,4955053.0,7850572958.05,164667.0,HDFCBANK,1592.5,1579.51,1592.5,1579.51,,Hold,,,,
14,2021-02-15,EQ,1600.1,1625.0,1596.7,1581.95,1624.95,1616.6,1608.22,1631.65,738.75,5177622.0,8326776744.4,148039.0,HDFCBANK,1625.0,1574.7549999999999,1625.0,1574.7549999999999,,Hold,,,,
15,2021-02-16,EQ,1621.2,1641.0,1608.45,1616.6,1625.5,1626.65,1625.28,1641.0,738.75,6948679.0,11293544900.15,180673.0,HDFCBANK,1641.0,1568.985,1641.0,1568.985,,Hold,,,,
16,2021-02-17,EQ,1620.0,1621.8,1583.0,1626.65,1586.2,1586.5,1602.21,1641.0,738.75,6397213.0,10249658891.5,154614.0,HDFCBANK,1621.8,1563.1399999999999,1621.8,1563.1399999999999,,Hold,,,,
17,2021-02-18,EQ,1605.95,1605.95,1548.0,1586.5,1559.0,1554.3,1570.9,1641.0,738.75,7360280.0,11562261540.35,260135.0,HDFCBANK,1605.95,1563.175,1605.95,1563.175,,Hold,,,,
18,2021-02-19,EQ,1545.0,1564.2,1533.0,1554.3,1543.9,1539.1,1547.93,1641.0,738.75,8569754.0,13265355232.8,248392.0,HDFCBANK,1564.2,1562.95,1564.2,1562.95,,Hold,,,,
19,2021-02-22,EQ,1545.05,1573.9,1539.45,1539.1,1542.0,1548.0,1557.44,1641.0,738.75,14725919.0,22934728117.95,299769.0,HDFCBANK,1573.9,1562.04,1573.9,1562.04,Cross Over,Buy,1529.15,1575.0245,1498.567,
20,2021-02-23,EQ,1553.75,1557.7,1522.65,1548.0,1530.0,1529.15,1537.17,1641.0,738.75,9119953.0,14018955769.95,230064.0,HDFCBANK,1557.7,1559.19,1557.7,1559.19,Target Hit,Sell,,,,1606.45
21,2021-02-24,EQ,1526.5,1613.95,1516.25,1529.15,1612.0,1606.45,1561.95,1641.0,738.75,7157166.0,11179104534.25,144539.0,HDFCBANK,1613.95,1562.525,1613.95,1562.525,,Hold,,,,
22,2021-02-25,EQ,1609.75,1636.25,1602.0,1606.45,1605.4,1606.4,1620.67,1641.0,738.75,10054785.0,16295464769.9,231264.0,HDFCBANK,1636.25,1557.455,1636.25,1557.455,,Hold,,,,
23,2021-02-26,EQ,1587.05,1588.9,1521.0,1606.4,1537.45,1534.4,1543.86,1641.0,738.75,13956423.0,21546718494.6,397166.0,HDFCBANK,1588.9,1552.01,1588.9,1552.01,,Hold,,,,
24,2021-03-01,EQ,1564.0,1572.55,1540.7,1534.4,1560.35,1558.9,1559.43,1641.0,738.75,6768009.0,10554225348.25,180747.0,HDFCBANK,1572.55,1551.435,1572.55,1551.435,,Hold,,,,
25,2021-03-02,EQ,1575.7,1587.5,1551.0,1558.9,1573.0,1568.2,1569.86,1641.0,738.75,8055019.0,12645262470.8,188996.0,HDFCBANK,1587.5,1546.76,1587.5,1546.76,,Hold,,,,
26,2021-03-03,EQ,1584.0,1596.0,1565.0,1568.2,1587.0,1586.85,1579.75,1641.0,738.75,5611205.0,8864314509.1,190986.0,HDFCBANK,1596.0,1539.475,1596.0,1539.475,,Hold,,,,
27,2021-03-04,EQ,1548.55,1571.0,1539.1,1586.85,1553.0,1552.05,1552.34,1641.0,738.75,8145719.0,12644956162.75,220611.0,HDFCBANK,1571.0,1529.8899999999999,1571.0,1529.8899999999999,,Hold,,,,
28,2021-03-05,EQ,1531.0,1545.6,1521.1,1552.05,1533.9,1530.0,1532.82,1641.0,738.75,8722911.0,13370624576.75,236265.0,HDFCBANK,1545.6,1524.435,1545.6,1524.435,,Hold,,,,
29,2021-03-08,EQ,1542.0,1555.0,1512.5,1530.0,1522.0,1519.5,1530.38,1641.0,738.75,7558525.0,11567437062.0,202940.0,HDFCBANK,1555.0,1518.35,1555.0,1518.35,,Hold,,,,
30,2021-03-09,EQ,1545.0,1565.7,1538.25,1519.5,1563.95,1562.5,1556.52,1641.0,738.75,7533348.0,11725810547.5,190281.0,HDFCBANK,1565.7,1516.415,1565.7,1516.415,,Hold,,,,
31,2021-03-10,EQ,1572.0,1575.0,1552.15,1562.5,1556.5,1555.75,1559.83,1641.0,738.75,5527508.0,8621972797.4,170939.0,HDFCBANK,1575.0,1508.0449999999998,1575.0,1508.0449999999998,,Hold,,,,
32,2021-03-12,EQ,1600.0,1600.0,1535.05,1555.75,1548.0,1551.95,1569.97,1641.0,738.75,7815602.0,12270253748.85,236912.0,HDFCBANK,1600.0,1498.8049999999998,1600.0,1498.8049999999998,,Hold,,,,
33,2021-03-15,EQ,1548.4,1548.4,1515.3,1551.95,1530.35,1528.65,1525.05,1641.0,738.75,6115242.0,9326041068.75,169992.0,HDFCBANK,1548.4,1492.7399999999998,1548.4,1492.7399999999998,,Hold,,,,
34,2021-03-16,EQ,1530.9,1540.4,1510.0,1528.65,1516.0,1512.15,1523.05,1641.0,738.75,6861183.0,10449909401.05,206602.0,HDFCBANK,1540.4,1495.245,1540.4,1495.245,,Hold,,,,
35,2021-03-17,EQ,1524.25,1539.0,1490.2,1512.15,1492.2,1495.35,1514.12,1641.0,738.75,10532214.0,15947042105.9,227416.0,HDFCBANK,1539.0,1493.395,1539.0,1493.395,,Hold,,,,
36,2021-03-18,EQ,1511.75,1522.05,1481.15,1495.35,1493.75,1491.0,1504.98,1641.0,738.75,9032770.0,13594097521.25,242311.0,HDFCBANK,1522.05,1492.5349999999999,1522.05,1492.5349999999999,,Hold,,,,
37,2021-03-19,EQ,1485.0,1511.2,1474.05,1491.0,1492.0,1497.5,1487.08,1641.0,738.75,10617510.0,15789044661.05,258063.0,HDFCBANK,1511.2,1488.395,1511.2,1488.395,,Hold,,,,
38,2021-03-22,EQ,1494.9,1494.9,1460.4,1497.5,1474.0,1469.15,1473.27,1641.0,738.75,7007816.0,10324419176.2,257662.0,HDFCBANK,1494.9,1482.6699999999998,1494.9,1482.6699999999998,,Hold,,,,
39,2021-03-23,EQ,1470.0,1507.45,1469.1,1469.15,1505.65,1500.15,1487.07,1641.0,738.75,9880714.0,14693349487.35,275690.0,HDFCBANK,1507.45,1480.475,1507.45,1480.475,,Hold,,,,
40,2021-03-24,EQ,1490.9,1506.45,1471.0,1500.15,1481.1,1478.8,1489.09,1641.0,738.75,8184450.0,12187419081.3,229246.0,HDFCBANK,1506.45,1473.74,1506.45,1473.74,,Hold,,,,
41,2021-03-25,EQ,1490.2,1495.55,1450.25,1478.8,1468.0,1463.35,1468.53,1641.0,738.75,11982178.0,17596198111.75,371490.0,HDFCBANK,1495.55,1468.035,1495.55,1468.035,,Hold,,,,
42,2021-03-26,EQ,1494.0,1499.0,1474.0,1463.35,1497.55,1491.3,1486.8,1641.0,738.75,6010629.0,8936579563.25,186603.0,HDFCBANK,1499.0,1458.405,1499.0,1458.405,,Hold,,,,
43,2021-03-30,EQ,1506.65,1562.55,1501.55,1491.3,1548.8,1553.7,1537.72,1641.0,810.0,12804032.0,19689049326.9,229161.0,HDFCBANK,1562.55,1449.31,1562.55,1449.31,,Hold,,,,
44,2021-03-31,EQ,1548.0,1548.0,1488.0,1553.7,1494.4,1493.65,1499.76,1641.0,810.0,15387253.0,23077192205.2,362409.0,HDFCBANK,1548.0,1436.95,1548.0,1436.95,,Hold,,,,
45,2021-04-01,EQ,1499.4,1499.4,1465.0,1493.65,1492.5,1486.75,1480.53,1641.0,810.0,17881881.0,26474705849.45,338659.0,HDFCBANK,1499.4,1430.45,1499.4,1430.45,,Hold,,,,
46,2021-04-05,EQ,1480.0,1485.0,1431.0,1486.75,1450.2,1449.6,1451.04,1641.0,826.1,8003293.0,11613125554.75,238305.0,HDFCBANK,1485.0,1423.0149999999999,1485.0,1423.0149999999999,,Hold,,,,
47,2021-04-06,EQ,1460.0,1462.65,1432.65,1449.6,1442.0,1440.25,1444.46,1641.0,826.1,7537867.0,10888166737.05,215174.0,HDFCBANK,1462.65,1417.195,1462.65,1417.195,,Hold,,,,
48,2021-04-07,EQ,1439.3,1456.7,1421.55,1440.25,1447.25,1447.2,1445.04,1641.0,826.1,12544090.0,18126686315.6,208801.0,HDFCBANK,1456.7,1415.4199999999998,1456.7,1415.4199999999998,,Hold,,,,
49,2021-04-08,EQ,1453.0,1460.9,1430.5,1447.2,1434.0,1432.8,1445.54,1641.0,826.1,8806796.0,12730541278.95,223974.0,HDFCBANK,1460.9,1412.1149999999998,1460.9,1412.1149999999998,,Hold,,,,
50,2021-04-09,EQ,1426.0,1432.8,1415.1,1432.8,1423.5,1421.75,1422.88,1641.0,826.1,14078908.0,20032618013.65,214798.0,HDFCBANK,1432.8,1409.3149999999998,1432.8,1409.3149999999998,Cross Over,Buy,1367.05,1408.0615,1339.709,
51,2021-04-12,EQ,1393.0,1399.0,1353.0,1421.75,1375.2,1367.05,1374.47,1641.0,826.1,11274564.0,15496590803.5,406501.0,HDFCBANK,1399.0,1411.0099999999998,1399.0,1411.0099999999998,,Hold,,,,
52,2021-04-13,EQ,1368.0,1406.45,1361.0,1367.05,1401.0,1400.35,1383.23,1641.0,826.1,9300341.0,12864536273.5,189809.0,HDFCBANK,1406.45,1421.985,1406.45,1421.985,Target Hit,Sell,,,,1430.1
53,2021-04-15,EQ,1405.0,1436.7,1391.0,1400.35,1434.25,1430.1,1410.25,1641.0,826.1,17222492.0,24287966847.35,317928.0,HDFCBANK,1436.7,1429.1999999999998,1436.7,1429.1999999999998,,Hold,,,,
54,2021-04-16,EQ,1434.95,1445.0,1423.5,1430.1,1430.9,1428.65,1436.06,1641.0,826.1,7803263.0,11205942978.0,188460.0,HDFCBANK,1445.0,1427.4199999999996,1445.0,1427.4199999999996,Cross Over,Buy,1412.4,1454.7720000000002,1384.152,
55,2021-04-19,EQ,1390.0,1417.7,1372.3,1428.65,1412.6,1412.4,1393.68,1641.0,826.1,12034621.0,16772359445.0,325777.0,HDFCBANK,1417.7,1425.9999999999998,1417.7,1425.9999999999998,Cross Down,Sell,,,,1391.4
56,2021-04-20,EQ,1425.0,1426.4,1383.95,1412.4,1390.45,1391.4,1405.29,1641.0,826.1,11593135.0,16291706863.05,283993.0,HDFCBANK,1426.4,1423.5949999999998,1426.4,1423.5949999999998,,Hold,,,,
57,2021-04-22,EQ,1380.0,1426.8,1371.05,1391.4,1421.0,1422.5,1393.28,1641.0,826.1,19242656.0,26810333683.2,320987.0,HDFCBANK,1426.8,1424.715,1426.8,1424.715,,Hold,,,,
58,2021-04-23,EQ,1409.0,1434.6,1400.2,1422.5,1414.95,1414.15,1418.34,1641.0,826.1,11356764.0,16107781693.85,242760.0,HDFCBANK,1434.6,1422.5549999999998,1434.6,1422.5549999999998,,Hold,,,,
59,2021-04-26,EQ,1413.0,1429.0,1402.75,1414.15,1407.55,1404.8,1413.19,1641.0,826.1,15085476.0,21318606947.85,291268.0,HDFCBANK,1429.0,1422.615,1429.0,1422.615,,Hold,,,,
60,2021-04-27,EQ,1407.25,1442.0,1404.8,1404.8,1435.05,1438.7,1430.4,1641.0,826.1,10296453.0,14728096470.65,233200.0,HDFCBANK,1442.0,1424.1200000000001,1442.0,1424.1200000000001,,Hold,,,,
61,2021-04-28,EQ,1436.25,1479.0,1431.0,1438.7,1475.0,1476.8,1463.19,1641.0,826.1,12051970.0,17634376658.6,197146.0,HDFCBANK,1479.0,1420.605,1479.0,1420.605,,Hold,,,,
62,2021-04-29,EQ,1486.2,1503.65,1461.0,1476.8,1471.65,1472.5,1481.15,1641.0,826.1,12039276.0,17831960366.75,252296.0,HDFCBANK,1503.65,1412.875,1503.65,1412.875,,Hold,,,,
63,2021-04-30,EQ,1445.0,1453.8,1407.5,1472.5,1412.9,1412.3,1421.13,1641.0,826.1,17616451.0,25035289801.25,447876.0,HDFCBANK,1453.8,1404.31,1453.8,1404.31,,Hold,,,,
64,2021-05-03,EQ,1393.0,1421.9,1377.3,1412.3,1419.0,1414.45,1398.07,1641.0,826.1,11236850.0,15709945763.35,341238.0,HDFCBANK,1421.9,1407.105,1421.9,1407.105,,Hold,,,,
65,2021-05-04,EQ,1409.95,1423.0,1383.3,1414.45,1390.6,1388.35,1403.8,1641.0,826.1,10743164.0,15081219692.0,263951.0,HDFCBANK,1423.0,1413.3300000000002,1423.0,1413.3300000000002,Cross Over,Buy,1402.6,1444.6779999999999,1374.548,
66,2021-05-05,EQ,1401.0,1409.6,1381.7,1388.35,1405.85,1402.6,1400.18,1641.0,826.1,7210806.0,10096392172.1,162134.0,HDFCBANK,1409.6,1420.315,1409.6,1420.315,,Hold,,,,
67,2021-05-06,EQ,1407.6,1410.8,1395.0,1402.6,1403.4,1400.9,1403.34,1641.0,826.1,5738522.0,8053113106.3,136848.0,HDFCBANK,1410.8,1423.335,1410.8,1423.335,,Hold,,,,
68,2021-05-07,EQ,1412.95,1424.95,1410.25,1400.9,1413.4,1414.75,1418.94,1641.0,826.1,6024167.0,8547958579.7,160474.0,HDFCBANK,1424.95,1432.975,1424.95,1432.975,,Hold,,,,
69,2021-05-10,EQ,1427.0,1430.0,1412.8,1414.75,1423.0,1419.85,1419.86,1641.0,826.1,5530025.0,7851885465.25,156544.0,HDFCBANK,1430.0,1442.4950000000001,1430.0,1442.4950000000001,,Hold,,,,
70,2021-05-11,EQ,1396.0,1424.2,1395.05,1419.85,1402.55,1403.55,1408.24,1641.0,826.1,7259517.0,10223121394.3,221164.0,HDFCBANK,1424.2,1448.4050000000002,1424.2,1448.4050000000002,,Hold,,,,
71,2021-05-12,EQ,1399.75,1408.6,1388.85,1403.55,1399.05,1399.5,1398.25,1641.0,826.1,6887463.0,9630379958.0,189135.0,HDFCBANK,1408.6,1455.755,1408.6,1455.755,,Hold,,,,
72,2021-05-14,EQ,1394.35,1398.9,1382.35,1399.5,1387.3,1386.85,1388.69,1641.0,826.1,5302071.0,7362947078.85,204439.0,HDFCBANK,1398.9,1464.0700000000002,1398.9,1464.0700000000002,,Hold,,,,
73,2021-05-17,EQ,1395.15,1442.6,1381.3,1386.85,1439.0,1440.25,1421.89,1641.0,826.1,7560346.0,10749946504.2,232157.0,HDFCBANK,1442.6,1475.73,1442.6,1475.73,,Hold,,,,
74,2021-05-18,EQ,1458.95,1482.75,1455.0,1440.25,1478.15,1476.7,1473.08,1641.0,826.1,11082640.0,16325627028.6,303758.0,HDFCBANK,1482.75,1483.2900000000002,1482.75,1483.2900000000002,,Hold,,,,
75,2021-05-19,EQ,1470.2,1478.85,1452.55,1476.7,1459.1,1458.2,1463.16,1641.0,826.1,5065458.0,7411590231.2,130871.0,HDFCBANK,1478.85,1486.7900000000002,1478.85,1486.7900000000002,,Hold,,,,
76,2021-05-20,EQ,1458.35,1465.9,1428.5,1458.2,1435.3,1432.8,1447.31,1641.0,826.1,5342092.0,7731637700.8,162817.0,HDFCBANK,1465.9,1491.3700000000001,1465.9,1491.3700000000001,Target Hit,Sell,,,,1497.3
77,2021-05-21,EQ,1443.0,1501.9,1443.0,1432.8,1501.3,1497.3,1477.34,1641.0,826.1,9670823.0,14287085746.8,234594.0,HDFCBANK,1501.9,1500.145,1501.9,1500.145,,Hold,,,,
78,2021-05-24,EQ,1503.25,1520.45,1498.5,1497.3,1506.0,1509.95,1510.77,1641.0,848.75,11073051.0,16728812270.3,332858.0,HDFCBANK,1520.45,1500.5100000000002,1520.45,1500.5100000000002,,Hold,,,,
79,2021-05-25,EQ,1510.5,1513.75,1470.5,1509.95,1481.0,1478.95,1483.97,1641.0,848.75,9618487.0,14273538928.15,263807.0,HDFCBANK,1513.75,1499.5000000000002,1513.75,1499.5000000000002,Cross Over,Buy,1477.05,1521.3615,1447.509,
80,2021-05-26,EQ,1480.0,1487.0,1470.0,1478.95,1477.0,1477.05,1478.66,1641.0,848.75,6141995.0,9081927510.05,180525.0,HDFCBANK,1487.0,1499.91,1487.0,1499.91,,Hold,,,,
81,2021-05-27,EQ,1473.1,1489.0,1462.45,1477.05,1483.8,1482.65,1471.96,1641.0,848.75,10219748.0,15043040015.15,209715.0,HDFCBANK,1489.0,1500.2350000000001,1489.0,1500.2350000000001,Cross Down,Sell,,,,1503.45
82,2021-05-28,EQ,1490.9,1513.0,1478.75,1482.65,1507.75,1503.45,1495.6,1641.0,848.75,8875010.0,13273437477.9,221597.0,HDFCBANK,1513.0,1500.075,1513.0,1500.075,,Hold,,,,
83,2021-05-31,EQ,1500.0,1519.5,1487.5,1503.45,1513.0,1515.85,1507.21,1641.0,928.0,7830527.0,11802287069.65,205932.0,HDFCBANK,1519.5,1498.365,1519.5,1498.365,,Hold,,,,
84,2021-06-01,EQ,1520.3,1527.0,1507.25,1515.85,1512.35,1511.7,1515.73,1641.0,928.0,5515081.0,8359376485.7,164990.0,HDFCBANK,1527.0,1494.725,1527.0,1494.725,,Hold,,,,
85,2021-06-02,EQ,1510.0,1510.2,1493.0,1511.7,1505.05,1504.0,1500.01,1641.0,928.0,5312008.0,7968047689.75,119874.0,HDFCBANK,1510.2,1492.58,1510.2,1492.58,,Hold,,,,
86,2021-06-03,EQ,1508.0,1524.95,1487.75,1504.0,1521.6,1520.55,1514.65,1641.0,928.0,5143630.0,7790780309.9,157719.0,HDFCBANK,1524.95,1490.6399999999999,1524.95,1490.6399999999999,,Hold,,,,
87,2021-06-04,EQ,1516.0,1520.65,1499.2,1520.55,1503.65,1500.95,1507.74,1641.0,928.0,4712238.0,7104808087.1,179989.0,HDFCBANK,1520.65,1485.1950000000002,1520.65,1485.1950000000002,,Hold,,,,
88,2021-06-07,EQ,1510.0,1514.0,1496.0,1500.95,1499.8,1499.85,1501.17,1641.0,928.0,4045834.0,6073488211.5,134014.0,HDFCBANK,1514.0,1483.08,1514.0,1483.08,,Hold,,,,
89,2021-06-08,EQ,1496.55,1501.3,1481.5,1499.85,1483.0,1483.05,1486.98,1641.0,928.0,4936270.0,7340118763.8,174145.0,HDFCBANK,1501.3,1481.965,1501.3,1481.965,,Hold,,,,
90,2021-06-09,EQ,1483.9,1502.0,1472.05,1483.05,1482.0,1480.3,1488.03,1641.0,928.0,5111721.0,7606416086.9,134064.0,HDFCBANK,1502.0,1482.04,1502.0,1482.04,,Hold,,,,
91,2021-06-10,EQ,1482.1,1489.0,1473.65,1480.3,1483.0,1481.05,1479.96,1641.0,928.0,5741770.0,8497570554.5,165786.0,HDFCBANK,1489.0,1482.56,1489.0,1482.56,,Hold,,,,
92,2021-06-11,EQ,1491.0,1496.55,1481.05,1481.05,1487.0,1486.35,1487.68,1641.0,928.0,3602987.0,5360093939.55,118634.0,HDFCBANK,1496.55,1485.0800000000002,1496.55,1485.0800000000002,Cross Over,Buy,1479.45,1523.8335,1449.861,
93,2021-06-14,EQ,1478.25,1486.0,1462.55,1486.35,1480.0,1479.45,1474.22,1641.0,943.0,4440982.0,6546998199.95,147161.0,HDFCBANK,1486.0,1487.9550000000002,1486.0,1487.9550000000002,Cross Down,Sell,,,,1490.25
94,2021-06-15,EQ,1486.0,1496.0,1474.8,1479.45,1490.2,1490.25,1490.11,1641.0,943.0,3784801.0,5639758160.45,126209.0,HDFCBANK,1496.0,1490.845,1496.0,1490.845,,Hold,,,,
95,2021-06-16,EQ,1488.0,1494.0,1478.1,1490.25,1485.8,1484.6,1484.76,1641.0,943.0,3851049.0,5717899444.3,140563.0,HDFCBANK,1494.0,1492.025,1494.0,1492.025,Cross Over,Buy,1466.1,1510.0829999999999,1436.778,
96,2021-06-17,EQ,1466.0,1478.75,1460.0,1484.6,1462.1,1466.1,1471.04,1641.0,943.0,4641901.0,6828422222.05,162372.0,HDFCBANK,1478.75,1493.355,1478.75,1493.355,,Hold,,,,
97,2021-06-18,EQ,1469.5,1490.0,1455.0,1466.1,1488.0,1479.8,1470.56,1641.0,943.0,5969030.0,8777832377.5,176020.0,HDFCBANK,1490.0,1495.4199999999998,1490.0,1495.4199999999998,,Hold,,,,
98,2021-06-21,EQ,1461.35,1491.8,1459.0,1479.8,1490.95,1488.7,1475.42,1641.0,993.0,3630236.0,5356108568.7,121439.0,HDFCBANK,1491.8,1495.48,1491.8,1495.48,Cross Down,Sell,,,,1483.8
99,2021-06-22,EQ,1497.0,1508.0,1480.0,1488.7,1481.85,1483.8,1496.02,1641.0,993.0,7183412.0,10746548095.35,176519.0,HDFCBANK,1508.0,1496.155,1508.0,1496.155,Cross Over,Buy,1485.5,1530.065,1455.79,
100,2021-06-23,EQ,1490.0,1497.8,1478.6,1483.8,1487.0,1485.5,1487.18,1641.0,993.0,3922434.0,5833378822.25,104106.0,HDFCBANK,1497.8,1501.2450000000001,1497.8,1501.2450000000001,Cross Down,Sell,,,,1506.25
101,2021-06-24,EQ,1490.0,1513.45,1488.0,1485.5,1506.05,1506.25,1502.25,1641.0,993.0,7392512.0,11105397440.3,161391.0,HDFCBANK,1513.45,1506.645,1513.45,1506.645,,Hold,,,,
102,2021-06-25,EQ,1511.1,1522.0,1507.0,1506.25,1513.75,1515.1,1515.21,1641.0,993.0,5191588.0,7866353151.8,157842.0,HDFCBANK,1522.0,1508.065,1522.0,1508.065,,Hold,,,,
103,2021-06-28,EQ,1520.0,1523.0,1505.0,1515.1,1512.0,1508.35,1510.42,1641.0,993.0,4678393.0,7066337440.2,97365.0,HDFCBANK,1523.0,1506.755,1523.0,1506.755,,Hold,,,,
104,2021-06-29,EQ,1507.0,1508.2,1492.15,1508.35,1500.15,1502.05,1498.23,1641.0,993.0,5485846.0,8219041607.3,119595.0,HDFCBANK,1508.2,1504.6200000000001,1508.2,1504.6200000000001,,Hold,,,,
105,2021-06-30,EQ,1498.0,1509.0,1494.1,1502.05,1497.0,1497.9,1501.04,1641.0,993.0,4839511.0,7264297159.95,113300.0,HDFCBANK,1509.0,1504.6000000000001,1509.0,1504.6000000000001,Cross Over,Buy,1486.75,1531.3525,1457.015,
106,2021-07-01,EQ,1502.0,1502.0,1483.0,1497.9,1487.95,1486.75,1491.4,1641.0,993.0,8455721.0,12610824917.85,177593.0,HDFCBANK,1502.0,1504.7250000000001,1502.0,1504.7250000000001,,Hold,,,,
107,2021-07-02,EQ,1485.0,1489.25,1477.0,1486.75,1482.5,1480.4,1482.69,1641.0,993.0,7413518.0,10991926075.4,175142.0,HDFCBANK,1489.25,1508.1200000000003,1489.25,1508.1200000000003,,Hold,,,,
108,2021-07-05,EQ,1489.95,1504.5,1484.55,1480.4,1496.6,1495.45,1497.63,1641.0,993.0,3686941.0,5521683947.9,136148.0,HDFCBANK,1504.5,1512.3150000000003,1504.5,1512.3150000000003,Target Hit,Sell,,,,1534.7
109,2021-07-06,EQ,1497.0,1540.0,1496.0,1495.45,1531.95,1534.7,1527.06,1641.0,993.0,8834516.0,13490818207.25,222855.0,HDFCBANK,1540.0,1509.8700000000003,1540.0,1509.8700000000003,,Hold,,,,
110,2021-07-07,EQ,1534.0,1545.35,1527.7,1534.7,1539.8,1539.5,1539.43,1641.0,993.0,4814595.0,7411730515.65,119316.0,HDFCBANK,1545.35,1500.7150000000001,1545.35,1500.7150000000001,,Hold,,,,
111,2021-07-08,EQ,1525.0,1537.7,1513.45,1539.5,1521.0,1520.45,1526.35,1641.0,993.0,4210461.0,6426630345.65,137221.0,HDFCBANK,1537.7,1491.6350000000002,1537.7,1491.6350000000002,,Hold,,,,
112,2021-07-09,EQ,1512.55,1516.0,1497.5,1520.45,1504.4,1502.0,1505.44,1641.0,993.0,5347921.0,8050952657.8,162723.0,HDFCBANK,1516.0,1483.8650000000002,1516.0,1483.8650000000002,,Hold,,,,
113,2021-07-12,EQ,1502.0,1502.0,1484.0,1502.0,1487.3,1487.0,1492.97,1641.0,993.0,7229489.0,10793386505.9,160971.0,HDFCBANK,1502.0,1477.1200000000001,1502.0,1477.1200000000001,,Hold,,,,
114,2021-07-13,EQ,1496.1,1506.1,1484.1,1487.0,1500.4,1501.85,1493.95,1641.0,993.0,9089071.0,13578589687.2,158600.0,HDFCBANK,1506.1,1472.395,1506.1,1472.395,,Hold,,,,
115,2021-07-14,EQ,1497.5,1507.35,1491.1,1501.85,1498.0,1499.15,1500.22,1641.0,993.0,4894247.0,7342459151.85,114595.0,HDFCBANK,1507.35,1463.94,1507.35,1463.94,,Hold,,,,
116,2021-07-15,EQ,1505.0,1526.75,1499.65,1499.15,1521.0,1520.7,1518.05,1641.0,993.0,5219401.0,7923304983.85,192039.0,HDFCBANK,1526.75,1455.85,1526.75,1455.85,,Hold,,,,
